==============================
Processo, 75, tempo, 4.633992, Prioridade,-1
Processo, 76, tempo, 4.626799, Prioridade,-1
Processo, 77, tempo, 4.615790, Prioridade,-1
Processo, 54, tempo, 4.633258, Prioridade,-1
Processo, 64, tempo, 4.738121, Prioridade,-1
Processo, 2, tempo, 4.720745, Prioridade,-1
Processo, 68, tempo, 4.682105, Prioridade,-1
Processo, 73, tempo, 4.652940, Prioridade,-1
Processo, 60, tempo, 4.706529, Prioridade,-1
Processo, 57, tempo, 4.723416, Prioridade,-1
Processo, 53, tempo, 4.650729, Prioridade,-1
Processo, 78, tempo, 4.662580, Prioridade,-1
Processo, 52, tempo, 4.641467, Prioridade,-1
Processo, 84, tempo, 4.742354, Prioridade,-1
Processo, 46, tempo, 4.663311, Prioridade,-1
Processo, 72, tempo, 4.697930, Prioridade,-1
Processo, 24, tempo, 4.706109, Prioridade,-1
Processo, 21, tempo, 4.718674, Prioridade,-1
Processo, 44, tempo, 4.684254, Prioridade,-1
Processo, 32, tempo, 4.701289, Prioridade,-1
Processo, 50, tempo, 4.670805, Prioridade,-1
Processo, 55, tempo, 4.737395, Prioridade,-1
Processo, 25, tempo, 4.712207, Prioridade,-1
Processo, 66, tempo, 4.744534, Prioridade,-1
Processo, 38, tempo, 4.700879, Prioridade,-1
Processo, 29, tempo, 4.718342, Prioridade,-1
Processo, 9, tempo, 4.755634, Prioridade,-1
Processo, 8, tempo, 4.753664, Prioridade,-1
Processo, 26, tempo, 4.745343, Prioridade,-1
Processo, 30, tempo, 4.716665, Prioridade,-1
Processo, 36, tempo, 4.698970, Prioridade,-1
Processo, 22, tempo, 4.731467, Prioridade,-1
Processo, 7, tempo, 4.763367, Prioridade,-1
Processo, 42, tempo, 4.702176, Prioridade,-1
